Wavelength (nm),NiOCSEMasdep_n,NiOCSEMasdep_k
381.279053,2.167757,0.08564
382.451416,2.163362,0.079365
383.631012,2.159031,0.073551
384.817902,2.154763,0.068162
386.012146,2.150555,0.063168
387.213837,2.146407,0.05854
388.423035,2.142318,0.054251
389.639801,2.138285,0.050276
390.864197,2.134308,0.046593
392.096375,2.130385,0.043179
393.336273,2.126515,0.040016
394.584076,2.122698,0.037084
395.839813,2.11893,0.034367
397.103577,2.115212,0.031849
398.375427,2.111543,0.029516
399.655457,2.10792,0.027353
400.943726,2.104344,0.025349
402.240326,2.100812,0.023492
403.545349,2.097324,0.021771
404.858887,2.093878,0.020176
406.180969,2.090474,0.018698
407.511749,2.08711,0.017328
408.851257,2.083785,0.016058
410.199615,2.080499,0.014882
411.556824,2.07725,0.013791
412.923157,2.074037,0.012781
414.298523,2.07086,0.011845
415.683105,2.067717,0.010977
417.076965,2.064607,0.010173
418.480164,2.06153,0.009427
419.892883,2.058484,0.008737
421.315186,2.055469,0.008097
422.747131,2.052484,0.007503
424.188812,2.049527,0.006954
425.640442,2.046599,0.006444
427.10199,2.043698,0.005972
428.573578,2.040823,0.005534
430.05542,2.037974,0.005129
431.547516,2.035149,0.004753
433.049957,2.032349,0.004405
434.562927,2.029571,0.004082
436.086517,2.026817,0.003783
437.620789,2.024084,0.003506
439.165955,2.021371,0.003249
440.722015,2.01868,0.003011
442.289215,2.016008,0.00279
443.867523,2.013355,0.002586
445.457214,2.01072,0.002397
447.058289,2.008102,0.002221
448.670898,2.005502,0.002058
450.295227,2.002918,0.001907
451.931305,2.00035,0.001768
453.579346,1.997797,0.001638
455.23941,1.995259,0.001518
456.911713,1.992735,0.001407
458.596344,1.990224,0.001304
460.293396,1.987727,0.001208
462.003113,1.985242,0.00112
463.725586,1.982768,0.001038
465.460938,1.980307,0.000962
467.20929,1.977856,0.000891
468.970856,1.975415,0.000826
470.745758,1.972985,0.000765
472.534119,1.970564,0.000709
474.336121,1.968152,0.000657
476.151947,1.965749,0.000609
477.98175,1.963354,0.000565
479.825623,1.960968,0.000523
481.683777,1.958588,0.000485
483.556396,1.956216,0.000449
485.443665,1.953851,0.000416
487.345642,1.951492,0.000386
489.262634,1.949139,0.000358
491.194763,1.946792,0.000331
493.142242,1.94445,0.000307
495.105164,1.942114,0.000285
497.083832,1.939782,0.000264
499.078369,1.937455,0.000244
501.088959,1.935132,0.000227
503.115814,1.932813,0.00021
505.159119,1.930498,0.000195
507.219086,1.928187,0.00018
509.295959,1.925879,0.000167
511.389893,1.923573,0.000155
513.501099,1.921271,0.000144
515.629822,1.918972,0.000133
517.776245,1.916675,0.000123
519.940674,1.914381,0.000114
522.12323,1.912088,0.000106
524.324219,1.909798,0.000098
526.543823,1.90751,0.000091
528.782288,1.905223,0.000084
531.039856,1.902938,0.000078
533.316772,1.900655,0.000072
535.613403,1.898373,0.000067
537.92981,1.896092,0.000062
540.266296,1.893813,0.000058
542.62323,1.891535,0.000053
545.000854,1.889258,0.000049
547.399353,1.886982,0.000046
549.819031,1.884708,0.000042
552.260254,1.882434,0.000039
554.723267,1.880161,0.000036
557.208313,1.87789,0.000034
559.715698,1.875619,0.000031
562.245728,1.873349,0.000029
564.798828,1.87108,0.000027
567.375122,1.868813,0.000025
569.975159,1.866546,0.000023
572.598999,1.864281,0.000021
575.247192,1.862017,0.00002
577.919983,1.859754,0.000018
580.617676,1.857492,0.000017
583.340698,1.855232,0.000016
586.089417,1.852973,0.000015
588.864136,1.850716,0.000014
591.665222,1.848461,0.000013
594.493164,1.846207,0.000012
597.348206,1.843956,0.000011
600.230835,1.841707,0.00001
603.141357,1.83946,0.000009
606.080322,1.837215,0.000009
609.047974,1.834973,0.000008
612.044922,1.832734,0.000007
615.071472,1.830497,0.000007
618.128113,1.828264,0.000006
621.215332,1.826035,0.000006
624.333496,1.823808,0.000005
627.483154,1.821586,0.000005
630.664673,1.819368,0.000005
633.878723,1.817154,0.000004
637.12561,1.814945,0.000004
640.405945,1.81274,0.000004
643.720276,1.810541,0.000003
647.069031,1.808347,0.000003
650.452881,1.806158,0.000003
653.872253,1.803976,0.000003
657.327759,1.8018,0.000003
660.820068,1.79963,0.000002
664.349609,1.797468,0.000002
667.917114,1.795313,0.000002
671.523071,1.793165,0.000002
675.168152,1.791026,0.000002
678.853088,1.788894,0.000002
682.578491,1.786772,0.000001
686.34491,1.784659,0.000001
690.153198,1.782556,0.000001
694.004028,1.780462,0.000001
697.897949,1.778379,0.000001
701.835876,1.776307,0.000001
705.818481,1.774247,0.000001
709.846558,1.772198,0.000001
713.920898,1.770161,0.000001
718.042236,1.768138,0.000001
722.211487,1.766127,0.000001
726.429382,1.764131,0.000001
730.696899,1.762149,0.000001
735.014771,1.760182,0.000001
739.384033,1.75823,0.000001
743.805542,1.756295,0
748.280212,1.754376,0
752.809082,1.752474,0
757.393127,1.750591,0
762.033325,1.748726,0
766.730652,1.74688,0
771.486389,1.745054,0
776.301392,1.743249,0
781.176941,1.741465,0
786.114075,1.739703,0
791.114014,1.737963,0
796.177979,1.736248,0
801.307129,1.734556,0
806.502869,1.73289,0
811.766418,1.731249,0
817.09906,1.729636,0
822.502258,1.72805,0
827.977417,1.726493,0
833.526001,1.724965,0
839.149292,1.723467,0
844.849121,1.722001,0
850.626831,1.720567,0
856.484192,1.719167,0
862.422729,1.717801,0
868.444214,1.716471,0
874.550415,1.715177,0
880.742981,1.713922,0
887.023926,1.712705,0
893.395142,1.711528,0
900,1.71,0
950,1.71,0
1000,1.71,0
1050,1.71,0
1100,1.71,0
1150,1.71,0
1200,1.71,0
1250,1.71,0
1300,1.71,0
1350,1.71,0
1400,1.71,0
