Wavelength (nm),PkCsBr10-01_n,PkCsBr10-01_k
2066.66666666667,2.118048,0
1907.69230769231,2.123052,0
1771.42857142857,2.12833,0
1653.33333333333,2.133904,0
1550,2.139801,0
1458.82352941176,2.146051,0
1377.77777777778,2.152689,0
1305.26315789474,2.159753,0
1240,2.167289,0
1180.95238095238,2.175347,0
1127.27272727273,2.183989,0
1078.26086956522,2.193288,0
1033.33333333333,2.20333,0
992,2.214222,0
953.846153846154,2.226097,0
918.518518518518,2.239129,0
885.714285714286,2.253548,0
855.172413793103,2.269676,0
826.666666666667,2.287985,0
800,2.309201,0
775,2.334501,0
751.515151515152,2.36583,0.000401
729.411764705882,2.406049,0.006796
708.571428571429,2.455806,0.031629
688.888888888889,2.49322,0.094651
670.27027027027,2.467884,0.162527
652.631578947368,2.425534,0.169305
635.897435897436,2.417268,0.153003
620,2.430025,0.143161
604.878048780488,2.450909,0.143012
590.47619047619,2.474383,0.151038
576.744186046512,2.497884,0.165823
563.636363636364,2.519829,0.186324
551.111111111111,2.538988,0.211608
539.130434782609,2.554343,0.240636
527.659574468085,2.565147,0.272177
516.666666666667,2.57103,0.304833
506.122448979592,2.572086,0.337169
496,2.56888,0.367888
486.274509803922,2.562361,0.396004
476.923076923077,2.553704,0.420956
467.924528301887,2.544131,0.442626
459.259259259259,2.534756,0.461294
450.909090909091,2.526477,0.477541
442.857142857143,2.519932,0.492134
435.087719298246,2.515497,0.505943
427.586206896552,2.513303,0.519865
420.338983050847,2.513262,0.534786
413.333333333333,2.515091,0.551553
406.55737704918,2.518317,0.57096
400,2.522275,0.593727
393.650793650794,2.526094,0.620469
387.5,2.528683,0.651647
381.538461538462,2.528726,0.687486
375.757575757576,2.524707,0.727875
370.149253731343,2.514988,0.772241
364.705882352941,2.497957,0.81944
359.420289855072,2.472254,0.867698
354.285714285714,2.437062,0.914665
349.295774647887,2.39238,0.957617
344.444444444444,2.339199,0.993822
339.72602739726,2.279477,1.020976
335.135135135135,2.215887,1.0376
330.666666666667,2.151388,1.043259
326.315789473684,2.088766,1.038538
322.077922077922,2.03027,1.02481
317.948717948718,1.977427,1.003898
313.924050632911,1.931035,0.977749
310,1.891281,0.948184
