Wavelength (nm),PkCsI15-01_n,PkCsI15-01_k
2066.66666666667,2.062562,0
1907.69230769231,2.067124,0
1771.42857142857,2.071897,0
1653.33333333333,2.076897,0
1550,2.082142,0
1458.82352941176,2.08765,0
1377.77777777778,2.093445,0
1305.26315789474,2.099552,0
1240,2.105998,0
1180.95238095238,2.112817,0
1127.27272727273,2.120048,0
1078.26086956522,2.127738,0
1033.33333333333,2.135944,0
992,2.14474,0
953.846153846154,2.154221,0
918.518518518518,2.164524,0
885.714285714286,2.175853,0
855.172413793103,2.188537,0
826.666666666667,2.20317,0
800,2.220934,0
775,2.244472,0
751.515151515152,2.280256,0
729.411764705882,2.34237,0.000706
708.571428571429,2.423875,0.050369
688.888888888889,2.423363,0.142701
670.27027027027,2.384915,0.16788
652.631578947368,2.372663,0.163868
635.897435897436,2.378565,0.158704
620,2.393783,0.157546
604.878048780488,2.414282,0.161065
590.47619047619,2.438081,0.169457
576.744186046512,2.463886,0.183047
563.636363636364,2.490493,0.202281
551.111111111111,2.516498,0.227572
539.130434782609,2.540178,0.259057
527.659574468085,2.559542,0.296302
516.666666666667,2.572603,0.338039
506.122448979592,2.577853,0.382071
496,2.57481,0.425528
486.274509803922,2.564358,0.465476
476.923076923077,2.548642,0.499683
467.924528301887,2.530494,0.527163
459.259259259259,2.512707,0.548264
450.909090909091,2.497447,0.564349
442.857142857143,2.486014,0.577308
435.087719298246,2.478876,0.589125
427.586206896552,2.475845,0.601619
420.338983050847,2.476269,0.616323
413.333333333333,2.479183,0.634456
406.55737704918,2.483393,0.656937
400,2.487526,0.684384
393.650793650794,2.490057,0.717093
387.5,2.489338,0.75499
381.538461538462,2.483669,0.797561
375.757575757576,2.47141,0.843776
370.149253731343,2.451155,0.892064
364.705882352941,2.421946,0.940346
359.420289855072,2.383493,0.986188
354.285714285714,2.33632,1.027059
349.295774647887,2.281795,1.060666
344.444444444444,2.221986,1.085279
339.72602739726,2.159374,1.099964
335.135135135135,2.096512,1.104649
330.666666666667,2.035687,1.100033
326.315789473684,1.978705,1.087371
322.077922077922,1.926788,1.06822
317.948717948718,1.880595,1.044206
313.924050632911,1.840314,1.01685
310,1.80578,0.987472
306.026582278481,1.65437,0.92225
302.103164556962,1.62967,0.88652
298.179746835443,1.60497,0.85079
294.256329113924,1.58027,0.81506
290.332911392405,1.55557,0.77933
286.409493670886,1.53087,0.7436
282.486075949367,1.50617,0.70787
