Wavelength (nm),aSin_n,aSin_k
208,1.184,2.573
210.2,1.212,2.603
212.3,1.243,2.634
214.5,1.274,2.666
216.8,1.307,2.698
219.1,1.341,2.73
221.4,1.377,2.762
223.8,1.415,2.795
226.3,1.455,2.829
228.8,1.496,2.863
231.3,1.54,2.897
234,1.586,2.931
236.6,1.634,2.965
239.4,1.684,3
242.2,1.737,3.034
245,1.793,3.069
248,1.852,3.103
251,1.915,3.137
254.1,1.98,3.17
257.3,2.049,3.203
260.5,2.122,3.234
263.8,2.199,3.264
267.2,2.28,3.293
270.7,2.366,3.32
274.3,2.456,3.344
278,2.55,3.365
281.8,2.65,3.383
285.7,2.754,3.396
289.7,2.863,3.405
293.8,2.977,3.408
298.1,3.096,3.404
302.4,3.218,3.394
306.9,3.345,3.375
311.5,3.474,3.346
316.3,3.605,3.308
321.2,3.737,3.259
326.3,3.869,3.199
331.5,3.999,3.127
336.9,4.126,3.043
342.5,4.247,2.947
348.3,4.361,2.839
354.3,4.466,2.722
360.4,4.561,2.595
366.8,4.644,2.46
373.5,4.715,2.32
380.4,4.773,2.176
387.5,4.817,2.029
394.9,4.849,1.882
402.6,4.867,1.737
410.6,4.874,1.594
418.9,4.87,1.456
427.6,4.855,1.323
436.6,4.833,1.196
446,4.802,1.076
455.9,4.765,0.9622
466.1,4.723,0.8556
476.9,4.675,0.7561
488.2,4.625,0.6635
500,4.571,0.5778
512.4,4.515,0.4988
525.4,4.457,0.4262
539.1,4.397,0.3598
553.5,4.337,0.2994
568.8,4.277,0.2447
584.9,4.216,0.1957
601.9,4.155,0.1522
620,4.094,0.114
639.1,4.034,0.0812
659.5,3.974,0.0538
681.3,3.916,0.0317
704.5,3.86,0.0153
729.4,3.806,0.00466
756.1,3.756,0.000138
784.8,3.714,0
815.7,3.677,0
849.3,3.644,0
850,3.644,0
855,3.644,0
860,3.644,0
865,3.644,0
870,3.644,0
875,3.644,0
880,3.644,0
885,3.644,0
890,3.644,0
895,3.644,0
900,3.644,0
905,3.644,0
910,3.644,0
915,3.644,0
920,3.644,0
925,3.644,0
930,3.644,0
935,3.644,0
940,3.644,0
945,3.644,0
950,3.644,0
955,3.644,0
960,3.644,0
965,3.644,0
970,3.644,0
975,3.644,0
980,3.644,0
985,3.644,0
990,3.644,0
995,3.644,0
1000,3.644,0
1005,3.644,0
1010,3.644,0
1015,3.644,0
1020,3.644,0
1025,3.644,0
1030,3.644,0
1035,3.644,0
1040,3.644,0
1045,3.644,0
1050,3.644,0
1055,3.644,0
1060,3.644,0
1065,3.644,0
1070,3.644,0
1075,3.644,0
1080,3.644,0
1085,3.644,0
1090,3.644,0
1095,3.644,0
1100,3.644,0
1105,3.644,0
1110,3.644,0
1115,3.644,0
1120,3.644,0
1125,3.644,0
1130,3.644,0
1135,3.644,0
1140,3.644,0
1145,3.644,0
1150,3.644,0
1155,3.644,0
1160,3.644,0
1165,3.644,0
1170,3.644,0
1175,3.644,0
1180,3.644,0
1185,3.644,0
1190,3.644,0
1195,3.644,0
1200,3.644,0
1205,3.644,0
1210,3.644,0
1215,3.644,0
1220,3.644,0
1225,3.644,0
1230,3.644,0
1235,3.644,0
1240,3.644,0
1245,3.644,0
1250,3.644,0
1255,3.644,0
1260,3.644,0
1265,3.644,0
1270,3.644,0
1275,3.644,0
1280,3.644,0
1285,3.644,0
1290,3.644,0
1295,3.644,0
1300,3.644,0
1305,3.644,0
1310,3.644,0
