Wavelength (nm),borosilicate_n,borosilicate_k
300,1.5,0.000002373
305,1.5,0.00000167
310,1.5,0.000001168
315,1.5,0.0000008084
320,1.5,0.0000005722
325,1.5,0.0000003962
330,1.5,0.0000002781
335,1.5,0.0000002026
340,1.5,0.0000001466
345,1.5,0.0000001087
350,1.5,0.00000008467
355,1.5,0.00000006893
360,1.5,0.00000005758
365,1.5,0.00000005199
370,1.5,0.00000005241
375,1.5,0.00000005759
380,1.5,0.0000000626
385,1.5,0.00000005729
390,1.5,0.00000005121
395,1.5,0.00000004966
400,1.5,0.00000005411
405,1.5,0.00000005833
410,1.5,0.00000006427
415,1.5,0.00000006935
420,1.5,0.00000007386
425,1.5,0.00000007914
430,1.5,0.00000008247
435,1.5,0.0000000855
440,1.5,0.00000008789
445,1.5,0.00000008888
450,1.5,0.00000008809
455,1.5,0.00000008509
460,1.5,0.00000008529
465,1.5,0.00000008289
470,1.5,0.00000008041
475,1.5,0.00000007862
480,1.5,0.00000007563
485,1.5,0.00000007603
490,1.5,0.00000007331
495,1.5,0.00000007327
500,1.5,0.00000007202
505,1.5,0.00000007113
510,1.5,0.00000006737
515,1.5,0.00000006639
520,1.5,0.00000006579
525,1.5,0.00000006225
530,1.5,0.00000006284
535,1.5,0.00000006131
540,1.5,0.0000000636
545,1.5,0.00000006332
550,1.5,0.00000006215
555,1.5,0.00000006536
560,1.5,0.00000006506
565,1.5,0.00000006474
570,1.5,0.0000000694
575,1.5,0.00000006909
580,1.5,0.00000007292
585,1.5,0.00000007635
590,1.5,0.00000007653
595,1.5,0.00000007623
600,1.5,0.0000000783
605,1.5,0.00000008233
610,1.5,0.00000008349
615,1.5,0.00000008467
620,1.5,0.00000008832
625,1.5,0.00000008803
630,1.5,0.00000009124
635,1.5,0.00000009449
640,1.5,0.00000009778
645,1.5,0.00000009547
650,1.5,0.0000001003
655,1.5,0.00000009956
660,1.5,0.0000001003
665,1.5,0.0000001027
670,1.5,0.000000105
675,1.5,0.0000001042
680,1.5,0.0000001039
685,1.5,0.0000001074
690,1.5,0.0000001054
695,1.5,0.0000001095
700,1.5,0.0000001114
705,1.5,0.0000001133
710,1.5,0.0000001124
715,1.5,0.0000001161
720,1.5,0.0000001232
725,1.5,0.0000001235
730,1.5,0.000000129
735,1.5,0.0000001281
740,1.5,0.0000001319
745,1.5,0.0000001352
750,1.5,0.0000001361
755,1.5,0.0000001442
760,1.5,0.0000001439
765,1.5,0.000000151
770,1.5,0.0000001599
775,1.5,0.0000001529
780,1.5,0.000000157
785,1.5,0.0000001574
790,1.5,0.0000001691
795,1.5,0.0000001771
800,1.5,0.0000001763
805,1.5,0.0000001845
810,1.5,0.0000001843
815,1.5,0.0000001887
820,1.5,0.0000001912
825,1.5,0.000000197
830,1.5,0.0000001995
835,1.5,0.0000002053
840,1.5,0.0000002032
845,1.5,0.0000002132
850,1.5,0.0000002178
855,1.5,0.0000002007
860,1.5,0.0000001978
865,1.5,0.0000002148
870,1.5,0.0000002416
875,1.5,0.0000002277
880,1.5,0.0000002297
885,1.5,0.0000002493
890,1.5,0.0000002613
895,1.5,0.0000002913
900,1.5,0.0000002614
905,1.5,0.0000002636
910,1.5,0.0000002694
915,1.5,0.0000002862
920,1.5,0.0000002885
925,1.5,0.0000002915
930,1.5,0.0000002938
935,1.5,0.0000003006
940,1.5,0.0000003089
945,1.5,0.0000003046
950,1.5,0.0000003183
955,1.5,0.0000003291
960,1.5,0.0000003262
965,1.5,0.0000003218
970,1.5,0.0000003412
975,1.5,0.0000003507
980,1.5,0.0000003486
985,1.5,0.0000003551
990,1.5,0.0000003758
995,1.5,0.0000003706
1000,1.5,0.0000003621
1005,1.5,0.0000003639
1010,1.5,0.0000003641
1015,1.5,0.000000374
1020,1.5,0.0000003791
1025,1.5,0.0000003834
1030,1.5,0.0000003787
1035,1.5,0.0000003863
1040,1.5,0.0000003973
1045,1.5,0.0000003983
1050,1.5,0.0000003986
1055,1.5,0.0000004072
1060,1.5,0.0000004049
1065,1.5,0.0000004136
1070,1.5,0.0000004189
1075,1.5,0.0000004149
1080,1.5,0.0000004203
1085,1.5,0.0000004265
1090,1.5,0.0000004224
1095,1.5,0.0000004226
1100,1.5,0.0000004333
1105,1.5,0.0000004238
1110,1.5,0.0000004293
1115,1.5,0.0000004259
1120,1.5,0.0000004314
1125,1.5,0.0000004414
1130,1.5,0.0000004172
1135,1.5,0.0000004308
1140,1.5,0.00000044
1145,1.5,0.0000004337
1150,1.5,0.0000004411
1155,1.5,0.0000004384
1160,1.5,0.0000004403
1165,1.5,0.0000004394
1170,1.5,0.0000004413
1175,1.5,0.0000004488
1180,1.5,0.0000004573
1185,1.5,0.0000004357
1190,1.5,0.0000004375
1195,1.5,0.0000004422
1200,1.5,0
