Wavelength (nm),cSi_n,cSi_k
250,1.665,3.661
260,1.757,4.076
270,2.068,4.684
280,2.959,5.281
290,4.356,5.285
300,4.976,4.226
310,5.121,3.602
320,5.112,3.31
330,5.195,3.099
340,5.301,2.976
350,5.494,2.952
360,6.026,2.979
370,6.891,2.17
380,6.616,0.9465
390,6.039,0.4438
400,5.613,0.296
410,5.33,0.2268
420,5.119,0.1761
430,4.949,0.1376
440,4.812,0.1075
450,4.691,0.0863
460,4.587,0.07138
470,4.497,0.06209
480,4.419,0.055
490,4.35,0.04913
500,4.294,0.04417
510,4.241,0.03937
520,4.193,0.03641
530,4.151,0.03311
540,4.112,0.0303
550,4.077,0.02797
560,4.045,0.02576
570,4.015,0.02413
580,3.988,0.02252
590,3.963,0.02108
600,3.94,0.01993
610,3.918,0.01845
620,3.898,0.01737
630,3.879,0.01644
640,3.861,0.01543
650,3.844,0.01443
660,3.828,0.0135
670,3.813,0.01274
680,3.798,0.0119
690,3.784,0.0112
700,3.772,0.01053
710,3.759,0.01006
720,3.748,0.009626
730,3.737,0.008946
740,3.727,0.008362
750,3.717,0.007818
760,3.708,0.007197
770,3.699,0.00674
780,3.691,0.006393
790,3.683,0.005834
800,3.675,0.005411
810,3.668,0.004995
820,3.661,0.004613
830,3.654,0.004273
840,3.647,0.003944
850,3.641,0.003612
860,3.635,0.003278
870,3.63,0.002984
880,3.624,0.002682
890,3.619,0.002429
900,3.614,0.00217
910,3.609,0.001962
920,3.604,0.001757
930,3.6,0.001547
940,3.595,0.001369
950,3.591,0.001179
960,3.587,0.001024
970,3.583,0.0008722
980,3.579,0.0007487
990,3.575,0.0006224
1000,3.572,0.0005093
1010,3.568,0.0004107
1020,3.565,0.0003239
1030,3.562,0.0002475
1040,3.559,0.000187
1050,3.556,0.0001362
1060,3.553,0.00009363
1070,3.55,0.00006812
1080,3.547,0.00005329
1090,3.545,0.00004077
1100,3.542,0.00003064
1110,3.54,0.00002385
1120,3.537,0.00001783
1130,3.535,0.00001349
1140,3.532,0.000009072
1150,3.53,0.000006223
1160,3.528,0.000003877
1170,3.526,0.000002048
1180,3.524,0.0000006104
1190,3.522,0.0000003409
1200,3.52,0.0000002101
1210,3.518,0.0000001252
1220,3.517,0.00000007961
1230,3.515,0.000000046
1240,3.513,0.00000002368
1250,3.511,0.000000009947
1260,3.509,0.00000000361
1270,3.508,0.000000002021
1280,3.506,0.000000001222
1290,3.505,0.0000000007289
1300,3.503,0.0000000004655
1310,3.502,0.0000000002815
1320,3.5,0.0000000001681
1330,3.499,0.00000000008467
1340,3.497,0.00000000003732
1350,3.496,0.00000000001826
1360,3.495,0.00000000001028
1370,3.494,0.000000000006541
1380,3.492,0.000000000004173
1390,3.491,0.000000000002544
1400,3.49,0.00000000000156
1410,3.489,0.0000000000009537
1420,3.488,0.000000000000565
1430,3.487,0.0000000000002845
1440,3.486,0.0000000000002063
1450,3.485,0.0000000000001385
