Wavelength (nm),pucnuc_n,pucnuc_k
206.633333333333,1.123981,1.981141
208.36974789916,1.139105,2.004269
210.135593220339,1.154884,2.027859
211.931623931624,1.171356,2.051923
213.758620689655,1.188559,2.076477
215.617391304348,1.206537,2.101534
217.508771929825,1.225339,2.12711
219.433628318584,1.245014,2.15322
221.392857142857,1.26562,2.179882
223.387387387387,1.28722,2.207111
225.418181818182,1.309881,2.234926
227.48623853211,1.33368,2.263342
229.592592592593,1.358701,2.292376
231.738317757009,1.385039,2.322044
233.924528301887,1.412797,2.35236
236.152380952381,1.442094,2.383336
238.423076923077,1.473062,2.41498
240.73786407767,1.505848,2.447294
243.098039215686,1.540621,2.480275
245.50495049505,1.577569,2.513905
247.96,1.616907,2.548157
250.464646464646,1.658874,2.582981
253.020408163265,1.703743,2.618302
255.628865979381,1.751819,2.654008
258.291666666667,1.803442,2.68994
261.010526315789,1.858985,2.725878
263.787234042553,1.918856,2.761518
266.623655913978,1.98348,2.79645
269.521739130435,2.05329,2.830135
272.483516483516,2.128691,2.861866
275.511111111111,2.210011,2.890752
278.606741573034,2.297432,2.91569
281.772727272727,2.39089,2.935383
285.011494252874,2.489965,2.948383
288.325581395349,2.59376,2.953217
291.717647058824,2.700837,2.948578
295.190476190476,2.809238,2.933581
298.746987951807,2.916651,2.90803
302.390243902439,3.020736,2.872588
306.123456790123,3.119522,2.82877
309.95,3.21178,2.778719
313.873417721519,3.297237,2.724839
317.897435897436,3.376596,2.669374
322.025974025974,3.451413,2.614045
326.263157894737,3.523868,2.55976
330.613333333333,3.59649,2.506359
335.081081081081,3.671742,2.452382
339.671232876712,3.751378,2.39494
344.388888888889,3.835543,2.32997
349.239436619718,3.921928,2.253215
354.228571428571,4.005708,2.1619
359.36231884058,4.08086,2.056266
364.647058823529,4.14235,1.939736
370.089552238806,4.187747,1.817467
375.69696969697,4.217318,1.694442
381.476923076923,4.233017,1.574296
387.4375,4.237358,1.45913
393.587301587302,4.232701,1.349879
399.935483870968,4.22097,1.246765
406.491803278689,4.203639,1.149653
413.266666666667,4.181809,1.058262
420.271186440678,4.156305,0.972278
427.51724137931,4.127761,0.891399
435.017543859649,4.096682,0.815355
442.785714285714,4.063482,0.743907
450.836363636364,4.028514,0.676841
459.185185185185,3.992085,0.613963
467.849056603774,3.954465,0.555095
476.846153846154,3.915894,0.500067
486.196078431373,3.876587,0.448721
495.92,3.836734,0.400903
506.040816326531,3.796504,0.356469
516.583333333333,3.756048,0.315281
527.574468085106,3.715497,0.277211
539.04347826087,3.674969,0.242142
551.022222222222,3.634567,0.209965
563.545454545455,3.594385,0.180585
576.651162790698,3.55451,0.153924
590.380952380952,3.515024,0.129915
604.780487804878,3.47601,0.10851
619.9,3.437558,0.08968
635.794871794872,3.399773,0.073416
652.526315789474,3.362781,0.05973
670.162162162162,3.326753,0.048657
688.777777777778,3.291929,0.040259
708.457142857143,3.258681,0.034621
729.294117647059,3.227753,0.031852
751.393939393939,3.2005,0.030639
774.875,3.175804,0.029582
799.870967741935,3.153044,0.028668
826.533333333333,3.131911,0.027883
830,3.131911,0.027883
850,3.131911,0.027883
870,3.131911,0.027883
890,3.131911,0.027883
910,3.131911,0.027883
930,3.131911,0.027883
950,3.131911,0.027883
970,3.131911,0.027883
990,3.131911,0.027883
1010,3.131911,0.027883
1030,3.131911,0.027883
1050,3.131911,0.027883
1070,3.131911,0.027883
1090,3.131911,0.027883
1110,3.131911,0.027883
1130,3.131911,0.027883
1150,3.131911,0.027883
1170,3.131911,0.027883
1190,3.131911,0.027883
1210,3.131911,0.027883
